epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,216.492,0.38087,0.9867,0.7646,0.86049,0.98502,1,0.995,0.98783,0.98502,1,0.995,0.89377,0.22206,0.65468,0.66354,0.80885,0.000229299,0.000229299,0.000229299
83,219.832,0.30252,0.7585,0.67823,0.86444,0.98502,1,0.995,0.98783,0.98502,1,0.995,0.89377,0.22206,0.65468,0.66354,0.80885,0.000220529,0.000220529,0.000220529
84,223.493,0.41551,1.09223,0.71903,0.84152,0.98832,1,0.995,0.995,0.98832,1,0.995,0.90569,0.21227,0.61886,0.62635,0.80633,0.000211476,0.000211476,0.000211476
85,227.837,0.44062,0.97174,0.78842,0.84939,0.98832,1,0.995,0.995,0.98832,1,0.995,0.90569,0.21227,0.61886,0.62635,0.80633,0.000202141,0.000202141,0.000202141
86,233.823,0.36862,0.81925,0.77849,0.87386,0.98832,1,0.995,0.995,0.98832,1,0.995,0.90569,0.21227,0.61886,0.62635,0.80633,0.000192522,0.000192522,0.000192522
87,240.326,0.38843,0.97593,0.77364,0.86576,0.98832,1,0.995,0.995,0.98832,1,0.995,0.90569,0.21227,0.61886,0.62635,0.80633,0.00018262,0.00018262,0.00018262
88,245.505,0.34644,0.73407,0.6672,0.86749,0.99095,1,0.995,0.995,0.99095,1,0.995,0.90569,0.2002,0.59474,0.59261,0.8032,0.000172436,0.000172436,0.000172436
89,250.71,0.3059,0.98061,0.72823,0.83665,0.99095,1,0.995,0.995,0.99095,1,0.995,0.90569,0.2002,0.59474,0.59261,0.8032,0.000161969,0.000161969,0.000161969
90,255.036,0.31334,0.74491,0.63473,0.82179,0.99095,1,0.995,0.995,0.99095,1,0.995,0.90569,0.2002,0.59474,0.59261,0.8032,0.000151218,0.000151218,0.000151218
91,259.464,0.2259,0.60837,0.70962,0.7998,0.99095,1,0.995,0.995,0.99095,1,0.995,0.90569,0.2002,0.59474,0.59261,0.8032,0.000140185,0.000140185,0.000140185
92,266.295,0.28422,0.68448,0.87331,0.83475,0.99042,1,0.995,0.995,0.99042,1,0.995,0.9073,0.19323,0.56714,0.56638,0.80137,0.000128869,0.000128869,0.000128869
93,270.792,0.27254,0.66126,0.81722,0.84654,0.99042,1,0.995,0.995,0.99042,1,0.995,0.9073,0.19323,0.56714,0.56638,0.80137,0.000117269,0.000117269,0.000117269
94,276.098,0.2068,0.58576,0.69667,0.89182,0.99042,1,0.995,0.995,0.99042,1,0.995,0.9073,0.19323,0.56714,0.56638,0.80137,0.000105387,0.000105387,0.000105387
95,280.311,0.29032,0.67098,0.86419,0.85253,0.99042,1,0.995,0.995,0.99042,1,0.995,0.9073,0.19323,0.56714,0.56638,0.80137,9.32222e-05,9.32222e-05,9.32222e-05
96,284.014,0.22183,0.63429,0.67983,0.76145,0.9898,1,0.995,0.995,0.9898,1,0.995,0.91402,0.18839,0.53785,0.5398,0.79972,8.07742e-05,8.07742e-05,8.07742e-05
97,287.081,0.3586,1.15132,0.79955,0.74393,0.9898,1,0.995,0.995,0.9898,1,0.995,0.91402,0.18839,0.53785,0.5398,0.79972,6.80433e-05,6.80433e-05,6.80433e-05
98,290.281,0.25138,0.72486,0.77195,0.81765,0.9898,1,0.995,0.995,0.9898,1,0.995,0.91402,0.18839,0.53785,0.5398,0.79972,5.50294e-05,5.50294e-05,5.50294e-05
99,293.683,0.32754,0.81661,0.84961,0.797,0.9898,1,0.995,0.995,0.9898,1,0.995,0.91402,0.18839,0.53785,0.5398,0.79972,4.17325e-05,4.17325e-05,4.17325e-05
100,296.836,0.27553,0.57999,0.75791,0.85758,0.98946,1,0.995,0.995,0.98946,1,0.995,0.91581,0.18824,0.52034,0.51836,0.79956,2.81527e-05,2.81527e-05,2.81527e-05
